"","...1","playerID","Player","votedBy","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","PrimaryTeam","PrimaryLg","all_star","gold_glove","lou_gehrig_memorial_award","most_valuable_player","tsn_player_of_the_year","hutch_award","tsn_fireman_of_the_year","silver_slugger","hank_aaron_award","rookie_of_the_year","baseball_magazine_all_star","pitching_triple_crown","rolaids_relief_man_award","tsn_major_league_player_of_the_year","alcs_mvp","all_star_game_mvp","babe_ruth_award","tsn_pitcher_of_the_year","cy_young_award","nlcs_mvp","roberto_clemente_award","world_series_mvp","tsn_reliever_of_the_year","comeback_player_of_the_year","branch_rickey_award","reliever_of_the_year_award","triple_crown","tsn_guide_mvp","outstanding_dh_award","AVG","OBP","1B","SLG","Steroids","nice_guy_awards","Pos","war","all_stars"
"455",455,"laabsch01","Chet Laabs","Veterans",950,3102,467,813,151,44,117,509,32,22,389,595,NA,10,37,NA,NA,"SLA","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.262,0.343,501,0.452,0,0,"LF",10.8,1
"456",456,"lagarju01","Juan Lagares","BBWAA",850,2329,270,582,119,22,31,217,45,19,120,528,13,22,21,16,46,"NYN","NL",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.25,0.289,410,0.36,0,0,"CF",11.2,0
"457",457,"landiji01","Jim Landis","Veterans",1346,4288,625,1061,169,50,93,467,139,51,588,767,22,59,61,29,65,"CHA","AL",2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.247,0.34,749,0.375,0,0,"CF",20.6,2
"458",458,"landrke01","Ken Landreaux","Veterans",1264,4101,522,1099,180,45,91,479,145,60,299,421,33,19,39,45,78,"LAN","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.268,0.315,783,0.4,0,0,"CF",10.3,1
"459",459,"lankfra01","Ray Lankford","Veterans",1701,5747,968,1561,356,54,238,874,258,117,828,1550,68,36,10,53,77,"SLN","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.272,0.363,913,0.477,0,0,"CF",38.2,1
"460",460,"lansfca01","Carney Lansford","Veterans",1862,7158,1007,2074,332,40,151,874,224,104,553,719,45,64,53,77,166,"OAK","AL",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.29,0.34,1551,0.411,0,1,"3B",40.5,1
"461",461,"larocad01","Adam LaRoche","BBWAA",1605,5593,752,1452,340,13,255,882,13,11,649,1407,67,24,5,58,128,"ATL","NL",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.26,0.336,844,0.462,0,0,"1B",14.2,0
"462",462,"lavagco01","Cookie Lavagetto","Veterans",1043,3509,487,945,183,37,40,486,63,NA,485,244,NA,12,33,NA,86,"BRO","NL",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.269,0.357,685,0.377,0,0,"3B",12.9,4
"463",463,"lavalmi01","Mike LaValliere","Veterans",879,2473,185,663,109,5,18,294,5,15,321,244,57,10,39,28,57,"PIT","NL",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.268,0.346,531,0.338,0,0,"C",13.9,0
"464",464,"lawtoma02","Matt Lawton","Veterans",1334,4763,756,1273,267,17,138,631,165,66,681,613,34,94,2,30,113,"MIN","AL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.267,0.368,851,0.417,0,0,"RF",15.2,2
"465",465,"lawva01","Vance Law","Veterans",1212,3802,453,972,193,26,71,442,34,26,408,602,14,9,43,36,92,"CHA","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.256,0.323,682,0.376,0,0,"3B",10.6,1
"466",466,"leeca01","Carlos Lee","Veterans",2099,7983,1125,2273,469,19,358,1363,125,47,655,984,60,47,3,98,206,"CHA","NL",3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.285,0.339,1427,0.483,0,0,"LF",28.3,3
"467",467,"leede02","Derrek Lee","Veterans",1942,6962,1081,1959,432,30,331,1078,104,48,874,1622,72,70,2,55,199,"CHN","NL",2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.281,0.365,1166,0.495,0,0,"1B",34.6,2
"468",468,"leibeha01","Hank Leiber","Veterans",813,2805,410,808,137,24,101,518,5,NA,274,319,NA,21,40,NA,78,"NY1","NL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.288,0.351,546,0.462,0,0,"CF",13.6,3
"469",469,"lemahdj01","DJ LeMahieu","BBWAA",1425,5306,809,1576,248,36,107,581,91,46,482,853,22,27,36,39,158,"COL","NL",3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.297,0.354,1185,0.418,0,0,"2B",30.3,3
"470",470,"lemonch01","Chet Lemon","Veterans",1988,6868,973,1875,396,61,215,884,58,76,749,1024,46,151,50,54,174,"DET","AL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.273,0.353,1203,0.442,0,0,"CF",55.6,3
"471",471,"lemonji01","Jim Lemon","Veterans",1010,3445,446,901,121,35,164,529,13,18,363,787,NA,18,6,NA,73,"WS1","AL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.262,0.335,581,0.46,0,0,"RF",7,2
"472",472,"leonaje01","Jeffrey Leonard","Veterans",1415,5045,614,1342,223,37,144,723,163,61,342,1000,41,23,8,58,146,"SFN","NL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0.266,0.312,938,0.411,0,0,"LF",9.9,2
"473",473,"lewisbu01","Buddy Lewis","Veterans",1349,5261,830,1563,249,93,71,607,83,59,573,303,NA,20,83,NA,NA,"WS1","AL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.297,0.363,1150,0.42,0,0,"3B",29.1,2
"474",474,"lewisda01","Darren Lewis","Veterans",1354,4081,607,1021,137,37,27,342,247,107,403,514,1,48,101,19,58,"SFN","NL",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.25,0.316,820,0.322,0,0,"CF",10.5,0
"475",475,"lezcasi01","Sixto Lezcano","Veterans",1291,4134,560,1122,184,34,148,591,37,31,576,768,37,19,39,46,96,"ML4","AL",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.271,0.357,756,0.44,0,0,"RF",28.2,0
"476",476,"liebemi01","Mike Lieberthal","Veterans",1212,4218,534,1155,257,10,150,610,8,7,335,571,34,89,10,43,114,"PHI","NL",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.274,0.336,738,0.446,0,0,"C",15.3,2
"477",477,"lindad01","Adam Lind","BBWAA",1344,4577,588,1247,259,12,200,723,7,5,393,945,45,17,3,39,117,"TOR","AL",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.272,0.329,776,0.465,0,0,"1B",12.7,0
"478",478,"lindejo01","Johnny Lindell","Veterans",854,2795,401,762,124,48,72,404,17,NA,289,366,NA,16,22,NA,91,"NYA","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.273,0.342,518,0.429,0,0,"CF",13.9,1
"479",479,"litwhda01","Danny Litwhiler","Veterans",1057,3494,428,982,162,32,107,451,11,NA,299,377,NA,27,38,NA,86,"CIN","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.281,0.339,681,0.438,0,0,"LF",18.5,1
"480",480,"lockmwh01","Whitey Lockman","Veterans",1666,5940,836,1658,222,49,114,563,43,NA,552,383,NA,19,64,NA,68,"NY1","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.279,0.339,1273,0.391,0,0,"1B",19.4,1
"481",481,"loducpa01","Paul Lo Duca","Veterans",1082,3892,483,1112,222,8,80,481,20,19,266,295,23,58,42,44,138,"LAN","NL",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.286,0.334,802,0.409,0,0,"C",17.8,4
"482",482,"loftoke01","Kenny Lofton","Veterans",2103,8120,1528,2428,383,116,130,781,622,160,945,1016,43,32,72,65,111,"CLE","AL",6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.299,0.369,1799,0.423,0,0,"CF",68.4,6
"483",483,"loganjo01","Johnny Logan","Veterans",1503,5244,651,1407,216,41,93,547,19,13,451,472,NA,43,125,NA,125,"ML1","NL",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.268,0.324,1057,0.378,0,0,"SS",33,4
"484",484,"lollash01","Sherm Lollar","Veterans",1752,5351,623,1415,244,14,155,808,20,10,671,453,NA,115,47,NA,184,"CHA","AL",9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.264,0.356,1002,0.402,0,0,"C",30.1,9
"485",485,"longda02","Dale Long","Veterans",1013,3020,384,805,135,33,132,467,10,3,353,460,NA,7,7,NA,76,"PIT","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.267,0.344,505,0.464,0,0,"1B",10.2,1
"486",486,"longoev01","Evan Longoria","BBWAA",1912,7095,992,1883,422,26,331,1131,58,19,707,1623,87,72,1,94,198,"TBA","AL",3,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.265,0.334,1104,0.472,0,0,"3B",58.1,3
"487",487,"lopatst01","Stan Lopata","Veterans",853,2601,375,661,116,25,116,397,18,NA,393,497,NA,7,12,NA,79,"PHI","NL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.254,0.352,404,0.452,0,0,"C",15.3,2
"488",488,"lopesda01","Davey Lopes","Veterans",1812,6354,1023,1671,232,50,155,614,557,114,833,852,38,31,74,48,126,"LAN","NL",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.263,0.345,1234,0.388,0,0,"2B",42.4,4
"489",489,"lopezfe01","Felipe Lopez","Veterans",1185,4337,600,1145,219,31,90,439,124,58,445,913,15,18,35,29,66,"CIN","NL",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.264,0.331,805,0.391,0,0,"SS",7.5,1
"490",490,"lopezja01","Javy Lopez","Veterans",1503,5319,674,1527,267,19,260,864,8,19,357,969,43,66,6,45,172,"ATL","NL",3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0.287,0.337,981,0.491,0,0,"C",29.7,3
"491",491,"loretma01","Mark Loretta","Veterans",1726,5812,768,1713,309,22,76,629,47,35,555,605,20,71,56,64,157,"MIL","NL",2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.295,0.357,1306,0.395,0,1,"2B",19.3,2
"492",492,"lowelmi01","Mike Lowell","Veterans",1601,5813,771,1619,394,7,223,952,30,14,548,817,45,52,1,84,170,"FLO","NL",4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0.279,0.341,995,0.464,0,0,"3B",24.8,4
"493",493,"lowrepe01","Peanuts Lowrey","Veterans",1401,4317,564,1177,186,45,37,479,48,NA,403,226,NA,11,97,NA,118,"CHN","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.273,0.33,909,0.362,0,0,"LF",13.5,1
"494",494,"lowrije01","Jed Lowrie","BBWAA",1307,4615,590,1185,292,17,121,594,8,3,503,895,19,24,8,46,94,"OAK","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.257,0.329,755,0.406,0,0,"SS",15.8,1
"495",495,"lucrojo01","Jonathan Lucroy","BBWAA",1210,4140,483,1134,217,24,108,548,30,9,369,662,20,34,8,40,136,"MIL","NL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.274,0.335,785,0.416,0,0,"C",17.7,2
"496",496,"ludwiry01","Ryan Ludwick","BBWAA",1065,3549,454,923,201,8,154,587,17,20,339,888,16,45,10,30,64,"SLN","NL",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.26,0.329,560,0.451,0,0,"RF",11.1,1
"497",497,"lumpeje01","Jerry Lumpe","Veterans",1371,4912,620,1314,190,52,47,454,20,15,428,411,21,8,57,36,97,"KC1","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.268,0.322,1025,0.356,0,0,"2B",15.4,1
"498",498,"luzingr01","Greg Luzinski","Veterans",1821,6505,880,1795,344,24,307,1128,37,31,845,1495,95,84,1,79,147,"PHI","NL",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0.276,0.363,1120,0.478,0,1,"LF",26.2,4
"499",499,"lynnfr01","Fred Lynn","Veterans",1969,6925,1063,1960,388,43,306,1111,72,54,857,1116,77,30,25,86,149,"BOS","AL",9,4,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.283,0.359,1223,0.484,0,0,"CF",50.2,9
"500",500,"machama01","Manny Machado","BBWAA",1445,5673,839,1597,312,18,283,853,85,34,513,1069,61,24,14,49,163,"BAL","AL",6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.282,0.34,984,0.493,0,0,"3B",52,6
"501",501,"mackra01","Ray Mack","Veterans",791,2707,273,629,113,24,34,278,35,NA,261,365,NA,6,42,NA,NA,"CLE","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.232,0.297,458,0.33,0,0,"2B",4.8,1
"502",502,"maddoga01","Garry Maddox","Veterans",1749,6331,777,1802,337,62,117,754,248,92,323,781,60,36,25,60,99,"PHI","NL",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0.285,0.319,1286,0.413,0,1,"CF",36.8,0
"503",503,"madlobi01","Bill Madlock","Veterans",1806,6594,920,2008,348,34,163,860,174,90,605,510,121,68,36,69,190,"PIT","NL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.305,0.364,1463,0.442,0,0,"3B",38.2,3
"504",504,"mageesh01","Sherry Magee","Veterans",2087,7441,1112,2169,425,166,83,1176,441,NA,736,624,NA,109,260,NA,NA,"PHI","NL",4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.291,0.353,1495,0.427,0,0,"LF",59.4,0
"505",505,"maldoma01","Martin Maldonado","BBWAA",1002,2952,316,616,117,4,96,325,3,5,258,860,17,63,30,10,71,"MIL","AL",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.209,0.283,399,0.349,0,0,"C",7.5,0
"506",506,"malzofr01","Frank Malzone","Veterans",1441,5428,647,1486,239,21,133,728,14,14,337,434,26,17,31,55,165,"BOS","AL",8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.274,0.314,1093,0.399,0,0,"3B",16.3,8
"507",507,"mancugu01","Gus Mancuso","Veterans",1460,4505,386,1194,197,16,53,543,8,NA,418,264,NA,5,97,NA,NA,"NY1","NL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.265,0.322,928,0.351,0,0,"C",10.5,2
"508",508,"manniri01","Rick Manning","Veterans",1555,5248,664,1349,189,43,56,458,168,78,471,616,33,9,61,43,104,"CLE","AL",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.257,0.314,1061,0.341,0,0,"CF",11.7,0
"509",509,"mantife01","Felix Mantilla","Veterans",969,2707,360,707,97,10,89,330,27,10,256,352,13,26,18,20,79,"ML1","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.261,0.327,511,0.403,0,0,"2B",6.5,1
"510",510,"manwaki01","Kirt Manwaring","Veterans",1008,2982,248,733,111,20,21,278,10,19,243,505,28,50,42,19,82,"SFN","NL",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.246,0.308,581,0.318,0,0,"C",5.2,0
"511",511,"markani01","Nick Markakis","BBWAA",2154,8302,1119,2388,514,22,189,1046,66,32,891,1230,79,51,4,73,214,"BAL","AL",1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.288,0.357,1663,0.423,0,0,"RF",33.6,1
"512",512,"marshmi02","Mike Marshall","Veterans",1035,3593,433,971,173,8,148,530,26,33,247,810,33,37,3,28,79,"LAN","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.27,0.321,642,0.446,0,0,"RF",10.1,1
"513",513,"marshwi01","Willard Marshall","Veterans",1246,4233,583,1160,163,39,130,604,14,NA,458,219,NA,13,29,NA,109,"NY1","NL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.274,0.345,828,0.423,0,0,"RF",19.8,3
"514",514,"martest01","Starling Marte","BBWAA",1252,4808,756,1392,257,51,142,565,314,93,277,1049,16,146,16,20,98,"PIT","NL",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.29,0.345,942,0.453,0,0,"LF",38.6,2
"515",515,"martibi02","Billy Martin","Veterans",1021,3419,425,877,137,28,64,333,34,29,188,355,NA,32,55,NA,96,"NYA","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0.257,0.297,648,0.369,0,0,"2B",3,1
"516",516,"martijd02","J. D. Martinez","BBWAA",1409,5286,790,1522,339,21,282,899,25,11,518,1424,53,32,0,50,167,"BOS","AL",5,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.288,0.352,880,0.52,0,0,"RF",27.9,5
"517",517,"martiru01","Russell Martin","BBWAA",1693,5701,803,1416,255,9,191,771,101,51,792,1211,46,107,12,36,190,"LAN","NL",4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.248,0.348,961,0.397,0,0,"C",38.8,4
"518",518,"martiti02","Tino Martinez","Veterans",2023,7111,1009,1925,365,21,339,1271,27,20,780,1069,102,59,14,80,191,"NYA","AL",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.271,0.344,1200,0.471,0,0,"1B",29,2
"519",519,"martivi01","Victor Martinez","BBWAA",1973,7297,914,2153,423,3,246,1178,7,7,730,891,119,53,0,86,264,"CLE","AL",5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.295,0.36,1481,0.455,0,0,"DH",32,5
"520",520,"masiph01","Phil Masi","Veterans",1229,3468,420,917,164,31,47,417,45,NA,410,311,NA,10,58,NA,107,"BSN","NL",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.264,0.339,675,0.37,0,0,"C",14.4,4
"521",521,"mathemi01","Mike Matheny","Veterans",1305,3877,353,925,190,9,67,443,8,14,266,795,54,45,65,34,97,"SLN","NL",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.239,0.288,659,0.344,0,0,"C",-0.5,0
"522",522,"matsuhi01","Hideki Matsui","Veterans",1236,4442,656,1253,249,12,175,760,13,9,547,689,35,21,0,46,106,"NYA","AL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0.282,0.36,817,0.462,0,0,"LF",21.2,2
"523",523,"matthga01","Gary Matthews","Veterans",2033,7147,1083,2011,319,51,234,978,183,74,940,1125,46,21,19,62,179,"SFN","NL",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0.281,0.363,1407,0.439,0,0,"LF",30.4,1
"524",524,"matthga02","Gary Matthews","Veterans",1281,4103,612,1056,225,29,108,484,95,36,454,849,26,18,13,29,72,"LAA","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.257,0.331,694,0.405,0,0,"CF",14.2,1
"525",525,"mauerjo01","Joe Mauer","BBWAA",1858,6930,1018,2123,428,30,143,923,52,19,939,1034,145,25,6,60,208,"MIN","AL",6,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.306,0.388,1522,0.439,0,0,"C",55.2,6
"526",526,"maxvida01","Dal Maxvill","Veterans",1423,3443,302,748,79,24,6,252,7,11,370,538,49,8,54,23,94,"SLN","NL",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.217,0.289,639,0.259,0,0,"SS",7.6,0
"527",527,"maxwech01","Charlie Maxwell","Veterans",1133,3245,478,856,110,26,148,532,18,7,484,545,NA,22,16,NA,45,"DET","AL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.264,0.362,572,0.451,0,0,"LF",19.8,2
"528",528,"maybejo01","John Mayberry","Veterans",1620,5447,733,1379,211,19,255,879,20,17,881,810,106,55,10,53,108,"KCA","AL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.253,0.359,894,0.439,0,0,"1B",25,2
"529",529,"mayca01","Carlos May","Veterans",1165,4120,545,1127,172,23,90,536,85,53,512,565,63,45,7,39,112,"CHA","AL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.274,0.357,842,0.392,0,0,"LF",10.5,2
"530",530,"mayda01","Dave May","Veterans",1252,3670,462,920,130,20,96,422,60,47,344,501,41,28,25,18,91,"ML4","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.251,0.316,674,0.375,0,0,"CF",13.5,1
"531",531,"mayle01","Lee May","Veterans",2071,7609,959,2031,340,31,354,1244,39,35,487,1570,85,49,9,65,219,"CIN","NL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.267,0.312,1306,0.459,0,0,"1B",27.3,3
"532",532,"mayoed01","Eddie Mayo","Veterans",834,3013,350,759,119,16,26,287,29,NA,257,175,NA,13,109,NA,72,"DET","AL",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0.252,0.303,598,0.328,0,0,"2B",NA,NA
"533",533,"mazzile01","Lee Mazzilli","Veterans",1475,4124,571,1068,191,24,93,460,197,90,642,627,41,20,12,33,63,"NYN","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.259,0.358,760,0.385,0,0,"CF",15.6,1
"534",534,"mcauldi01","Dick McAuliffe","Veterans",1763,6185,888,1530,231,71,197,697,63,59,882,974,59,33,32,30,77,"DET","AL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.247,0.341,1031,0.403,0,0,"2B",37.6,3
"535",535,"mcbriba01","Bake McBride","Veterans",1071,3853,548,1153,167,55,63,430,183,63,248,457,28,40,22,39,64,"PHI","NL",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.299,0.343,868,0.42,0,0,"RF",22.6,1
"536",536,"mccanbr01","Brian McCann","BBWAA",1755,6067,742,1590,294,5,282,1018,25,9,640,1054,71,75,9,59,180,"ATL","NL",7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.262,0.336,1009,0.452,0,0,"C",32,7
"537",537,"mccarti01","Tim McCarver","Veterans",1909,5529,590,1501,242,57,97,645,61,49,548,422,119,30,35,64,99,"SLN","NL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.271,0.335,1105,0.388,0,0,"C",28.3,2
"538",538,"mccorfr01","Frank McCormick","Veterans",1534,5723,722,1711,334,26,128,951,27,NA,399,189,NA,27,58,NA,176,"CIN","NL",9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0.299,0.344,1223,0.434,0,0,"1B",31.9,9
"539",539,"mcculcl01","Clyde McCullough","Veterans",1098,3121,308,785,121,28,52,339,27,NA,265,398,NA,20,50,NA,87,"CHN","NL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.252,0.31,584,0.358,0,0,"C",9.6,2
